Date,Predicted Carbon Emission
2026-04-01,10609.992
2026-04-02,10607.326
2026-04-03,10625.988
2026-04-04,10596.662
2026-04-05,10593.996
2026-04-06,10612.658
2026-04-07,10628.654
2026-04-08,10599.328
2026-04-09,10607.326
2026-04-10,10620.656
2026-04-11,10623.322
2026-04-12,10604.66
2026-04-13,10609.992
2026-04-14,10620.656
2026-04-15,10604.66
2026-04-16,10612.658
2026-04-17,10617.99
2026-04-18,10628.654
2026-04-19,10625.988
2026-04-20,10601.994
2026-04-21,10607.326
2026-04-22,10625.988
2026-04-23,10623.322
2026-04-24,10604.66
2026-04-25,10615.324
2026-04-26,10604.66
2026-04-27,10620.656
2026-04-28,10617.99
2026-04-29,10607.326
2026-04-30,10601.994
